Name,Pig,Location,Direction,Ncycles,Width,Thickness
PA_Belly_SubQ1,A,Belly,Parallel,4,31.416,1.91
PA_Belly_SubQ4,A,Belly,Perpendicular,4,33.514,1.528
PA_Belly_SubQ5,A,Belly,Perpendicular,3,29.352,2.192
PA_Belly_SubQ6,A,Belly,Parallel,4,29.514,1.744
PA_Breast_SubQ1,A,Breast,Parallel,4,33.316,1.262
PA_Breast_SubQ3,A,Breast,Perpendicular,4,31.198,1.286
PA_Breast_SubQ5,A,Breast,Parallel,4,25.272,1.172
PA_Breast_SubQ6,A,Breast,Perpendicular,4,21.164,1.58
PB_Belly_SubQ1,B,Belly,Perpendicular,4,28.862,2.012
PB_Belly_SubQ2,B,Belly,Perpendicular,4,34.272,2.638
PB_Belly_SubQ3,B,Belly,Parallel,4,23.086,2.674
PB_Belly_SubQ4,B,Belly,Parallel,4,31.942,2.124
PB_Breast_SubQ2,B,Breast,Parallel,4,30.178,1.872
PB_Breast_SubQ3,B,Breast,Parallel,4,30.79,2.332
PB_Breast_SubQ5,B,Breast,Parallel,3,28.32,1.988
PB_Breast_SubQ6,B,Breast,Perpendicular,4,30.27,2.456
PC_Belly_SubQ2,C,Belly,Perpendicular,4,32.838,2.176
PC_Belly_SubQ5,C,Belly,Perpendicular,4,29.784,3.338
PC_Belly_SubQ6,C,Belly,Parallel,4,26.378,2.104
PC_Belly_SubQ7,C,Belly,Perpendicular,4,25.956,2.212
PC_Breast_SubQ3,C,Breast,Parallel,3,32.584,1.794
PC_Breast_SubQ6,C,Breast,Perpendicular,4,33.348,2.678
PC_Breast_SubQ7,C,Breast,Parallel,4,36.066,3.186
PC_Breast_SubQ8,C,Breast,Perpendicular,4,30.754,1.948
